,START,VERB,NUM,NOUN,ADP,DET,PRON,ADV,CCONJ,PUNCT,ADJ,AUX,SCONJ,PROPN,PART,INTJ,SPACE,X,SYM
START,0.0,1701.0,209.0,1584.0,2226.0,1570.0,2133.0,934.0,1307.0,398.0,718.0,401.0,721.0,891.0,322.0,96.0,0.0,70.0,5.0
VERB,0.0,201.0,67.0,1189.0,2889.0,1580.0,2642.0,778.0,250.0,2329.0,462.0,72.0,230.0,170.0,533.0,10.0,47.0,6.0,1.0
NUM,0.0,28.0,14.0,241.0,70.0,12.0,14.0,10.0,12.0,196.0,48.0,12.0,2.0,9.0,11.0,0.0,0.0,3.0,0.0
NOUN,0.0,2047.0,40.0,1732.0,4138.0,304.0,904.0,568.0,1031.0,8945.0,329.0,1024.0,249.0,138.0,648.0,11.0,97.0,27.0,12.0
ADP,0.0,267.0,126.0,3117.0,377.0,4175.0,2121.0,168.0,48.0,416.0,740.0,34.0,32.0,759.0,24.0,3.0,41.0,6.0,1.0
DET,0.0,221.0,68.0,7410.0,2.0,117.0,39.0,85.0,0.0,46.0,2034.0,2.0,2.0,565.0,1.0,1.0,9.0,19.0,0.0
PRON,0.0,3499.0,32.0,2608.0,551.0,157.0,367.0,472.0,80.0,1023.0,603.0,2403.0,81.0,113.0,84.0,3.0,17.0,10.0,0.0
ADV,0.0,758.0,15.0,98.0,510.0,248.0,398.0,470.0,113.0,1289.0,461.0,193.0,94.0,37.0,85.0,3.0,9.0,2.0,0.0
CCONJ,0.0,846.0,42.0,719.0,158.0,457.0,524.0,349.0,3.0,40.0,380.0,71.0,81.0,163.0,48.0,18.0,6.0,4.0,0.0
PUNCT,0.0,257.0,46.0,254.0,139.0,218.0,527.0,127.0,212.0,747.0,156.0,58.0,118.0,105.0,29.0,39.0,11.0,6.0,0.0
ADJ,0.0,94.0,32.0,3797.0,550.0,71.0,129.0,86.0,257.0,1316.0,363.0,50.0,91.0,145.0,114.0,3.0,20.0,4.0,0.0
AUX,0.0,1643.0,29.0,116.0,115.0,363.0,463.0,354.0,12.0,140.0,417.0,235.0,27.0,51.0,527.0,0.0,4.0,3.0,0.0
SCONJ,0.0,101.0,21.0,201.0,73.0,322.0,945.0,105.0,8.0,54.0,79.0,75.0,77.0,79.0,58.0,2.0,4.0,0.0,0.0
PROPN,0.0,379.0,12.0,377.0,241.0,49.0,99.0,72.0,125.0,1455.0,45.0,130.0,20.0,651.0,292.0,2.0,11.0,16.0,4.0
PART,0.0,1514.0,6.0,134.0,31.0,36.0,26.0,78.0,2.0,61.0,74.0,129.0,14.0,14.0,31.0,0.0,0.0,0.0,0.0
INTJ,0.0,20.0,0.0,33.0,7.0,10.0,20.0,4.0,6.0,156.0,13.0,8.0,3.0,11.0,3.0,15.0,0.0,1.0,0.0
SPACE,0.0,5.0,0.0,12.0,6.0,1.0,1.0,2.0,1.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,0.0,2.0,0.0,14.0,2.0,1.0,1.0,1.0,0.0,27.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,12.0,0.0
SYM,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
